r 0.001 0.01 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0
0.01 -0.002402 -0.02402 -0.2402 -0.480399 -0.720599 -0.960798 -1.201 -1.4412 -1.6814 -1.9216 -2.1618 -2.402 
0.02 -0.00367928 -0.0366174 -0.34951 -0.665376 -0.952232 -1.2139 -1.45356 -1.67387 -1.87709 -2.06512 -2.23962 -2.402 
0.05 -0.00519572 -0.0514184 -0.465875 -0.843677 -1.15622 -1.41908 -1.64322 -1.83661 -2.00517 -2.1534 -2.28477 -2.402 
0.1 -0.00692551 -0.0680997 -0.58363 -1.00725 -1.32872 -1.58102 -1.78431 -1.9516 -2.09167 -2.21067 -2.31303 -2.402 
0.2 -0.0100311 -0.0975207 -0.762965 -1.22879 -1.54276 -1.76872 -1.93914 -2.07224 -2.17908 -2.26673 -2.33994 -2.402 
0.5 -0.0233862 -0.216799 -1.25345 -1.70688 -1.94091 -2.08377 -2.18004 -2.24932 -2.30157 -2.34238 -2.37513 -2.402 
0.75 -0.0557253 -0.464379 -1.74144 -2.05547 -2.18693 -2.25917 -2.30485 -2.33635 -2.35938 -2.37695 -2.3908 -2.402 
